valor
1.24
1.13
1.28
1.24
1.25
1.24
1.32
1.23
1.25
1.25
1.28
1.22
1.36
1.26
1.43
1.32
1.34
1.32
1.31
1.35
1.44
1.45
1.24
1.31
1.36
1.29
1.24
1.31
1.31
1.30
