valor
66660
67439
68034
71101
71699
72477
82128
82836
83428
86343
86937
87719
90914
91685
92289
95774
96369
97149
100131
100909
101506
106392
106989
107768
111116
111883
112491
115618
116220
116994
119131
119905
120506
123193
123796
124569
128561
129340
129936
132956
133550
134332
136580
137351
137955
140414
141012
141790
144330
145104
145706
150839
151423
152214
154182
154956
155556
159870
160469
161246
164224
165003
165599
167611
168209
168987
170799
171573
172175
176894
177497
178270
186592
187375
187968
191192
191791
192569
196102
196888
197477
200202
200789
201578
203498
204270
204874
208251
208850
209627
