valor
674
671
667
665
661
658
656
650
645
643
641
636
633
632
624
616
613
610
608
603
601
600
595
590
588
581
579
574
573
569
565
559
558
557
557
553
547
545
541
525
522
516
511
507
505
498
493
490
485
484
481
479
476
474
471
468
465
462
456
453
450
445
443
437
431
426
420
414
412
405
404
400
396
393
385
382
381
373
365
359
355
352
347
342
341
337
333
331
328
326
318
316
313
310
306
298
292
290
286
283
279
275
269
267
265
261
259
256
253
250
249
246
239
235
231
227
222
220
218
216
209
206
203
198
194
190
187
181
176
174
170
167
164
158
154
153
151
146
145
142
140
139
136
130
126
119
118
116
112
107
103
99
97
95
91
86
83
83
77
77
74
73
72
68
67
64
59
55
49
46
42
37
34
33
29
29
24
19
16
13
10
10
